buying,maint,doors,persons,lug_boot,safety,class,,,,,,,
vhigh,vhigh,2,2,small,low,unacc,,,,,,,
vhigh,vhigh,2,2,small,med,unacc,,,,,,,
vhigh,vhigh,2,2,small,high,unacc,,,,,,,
vhigh,vhigh,2,2,med,low,unacc,,,,,,,
vhigh,vhigh,2,2,med,med,unacc,,,,,,,
vhigh,vhigh,2,2,med,high,unacc,,,,,,,
vhigh,vhigh,2,2,big,low,unacc,,,,,,,
vhigh,vhigh,2,2,big,med,unacc,,,,,,,
vhigh,vhigh,2,2,big,high,unacc,,,,,,,
vhigh,vhigh,2,4,small,low,unacc,,,,,,,
vhigh,vhigh,2,4,small,med,unacc,,,,,,,
vhigh,vhigh,2,4,small,high,unacc,,,,,,,
vhigh,vhigh,2,4,med,low,unacc,,,,,,,
vhigh,vhigh,2,4,med,med,unacc,,,,,,,
vhigh,vhigh,2,4,med,high,unacc,,,,,,,
vhigh,vhigh,2,4,big,low,unacc,,,,,,,
vhigh,vhigh,2,4,big,med,unacc,,,,,,,
vhigh,vhigh,2,4,big,high,unacc,,,,,,,
vhigh,vhigh,2,more,small,low,unacc,,,,,,,
vhigh,vhigh,2,more,small,med,unacc,,,,,,,
vhigh,vhigh,2,more,small,high,unacc,,,,,,,
vhigh,vhigh,2,more,med,low,unacc,,,,,,,
vhigh,vhigh,2,more,med,med,unacc,,,,,,,
vhigh,vhigh,2,more,med,high,unacc,,,,,,,
vhigh,vhigh,2,more,big,low,unacc,,,,,,,
vhigh,vhigh,2,more,big,med,unacc,,,,,,,
vhigh,vhigh,2,more,big,high,unacc,,,,,,,
vhigh,vhigh,3,2,small,low,unacc,,,,,,,
vhigh,vhigh,3,2,small,med,unacc,,,,,,,
vhigh,vhigh,3,2,small,high,unacc,,,,,,,
vhigh,vhigh,3,2,med,low,unacc,,,,,,,
vhigh,vhigh,3,2,med,med,unacc,,,,,,,
vhigh,vhigh,3,2,med,high,unacc,,,,,,,
vhigh,vhigh,3,2,big,low,unacc,,,,,,,
vhigh,vhigh,3,2,big,med,unacc,,,,,,,
vhigh,vhigh,3,2,big,high,unacc,,,,,,,
vhigh,vhigh,3,4,small,low,unacc,,,,,,,
vhigh,vhigh,3,4,small,med,unacc,,,,,,,
vhigh,vhigh,3,4,small,high,unacc,,,,,,,
vhigh,vhigh,3,4,med,low,unacc,,,,,,,
vhigh,vhigh,3,4,med,med,unacc,,,,,,,
vhigh,vhigh,3,4,med,high,unacc,,,,,,,
vhigh,vhigh,3,4,big,low,unacc,,,,,,,
vhigh,vhigh,3,4,big,med,unacc,,,,,,,
vhigh,vhigh,3,4,big,high,unacc,,,,,,,
vhigh,vhigh,3,more,small,low,unacc,,,,,,,
vhigh,vhigh,3,more,small,med,unacc,,,,,,,
vhigh,vhigh,3,more,small,high,unacc,,,,,,,
vhigh,vhigh,3,more,med,low,unacc,,,,,,,
vhigh,vhigh,3,more,med,med,unacc,,,,,,,
vhigh,vhigh,3,more,med,high,unacc,,,,,,,
vhigh,vhigh,3,more,big,low,unacc,,,,,,,
vhigh,vhigh,3,more,big,med,unacc,,,,,,,
vhigh,vhigh,3,more,big,high,unacc,,,,,,,
vhigh,vhigh,4,2,small,low,unacc,,,,,,,
vhigh,vhigh,4,2,small,med,unacc,,,,,,,
vhigh,vhigh,4,2,small,high,unacc,,,,,,,
vhigh,vhigh,4,2,med,low,unacc,,,,,,,
vhigh,vhigh,4,2,med,med,unacc,,,,,,,
vhigh,vhigh,4,2,med,high,unacc,,,,,,,
vhigh,vhigh,4,2,big,low,unacc,,,,,,,
vhigh,vhigh,4,2,big,med,unacc,,,,,,,
vhigh,vhigh,4,2,big,high,unacc,,,,,,,
